City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esperance,AU,78.26,clear sky,-33.8667,121.9,Hospitality Esperance
5,Atuona,PF,78.62,light rain,-9.8,-139.0333,Villa Enata
16,Busselton,AU,83.08,few clouds,-33.65,115.3333,Observatory Guest House
17,Puerto Escondido,MX,78.57,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
23,Puerto Ayora,EC,74.88,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Marawi,PH,73.65,scattered clouds,7.9986,124.2928,Derogongan Residence
40,Georgetown,MY,80.15,light rain,5.4112,100.3354,Cititel Penang
45,Rikitea,PF,79.74,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Yeppoon,AU,82.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
47,Hithadhoo,MV,83.21,few clouds,-0.6,73.0833,Scoop Guest House
49,Veraval,IN,79.57,clear sky,20.9,70.3667,Lords Inn Somnath
54,Butaritari,KI,82.29,broken clouds,3.0707,172.7902,Isles Sunset Lodge
59,Mahebourg,MU,80.38,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Beyla,GN,74.03,overcast clouds,8.6833,-8.6333,DIAN SINKO
63,Hilo,US,73.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Mumford,GH,77.88,clear sky,5.2618,-0.759,Spanish Villa
71,Touros,BR,79.38,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
75,Martapura,ID,83.91,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
82,Bambous Virieux,MU,80.37,light rain,-20.3428,57.7575,Casa Tia Villa
91,Kahului,US,74.3,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
93,Chuy,UY,73.08,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
95,Mazagao,BR,73.53,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
100,Caravelas,BR,73.94,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
101,Sur,OM,79.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
103,Kloulklubed,PW,82.42,broken clouds,7.0419,134.2556,Storyboard Beach Resort
104,Sao Miguel Do Araguaia,BR,73.36,clear sky,-13.275,-50.1628,Hotel Executivo Palace
105,Inhambane,MZ,76.95,light rain,-23.865,35.3833,Oceano
110,Maymyo,MM,81.46,clear sky,22.0333,96.4667,Tiger Hotel
111,Vao,NC,79.54,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
116,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
117,Yaan,NG,74.5,scattered clouds,7.3833,8.5667,
131,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
133,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Harper,LR,79.0,broken clouds,4.375,-7.7169,Screensaver
138,Nelson Bay,AU,73.49,light rain,-32.7167,152.15,Mantra Nelson Bay
139,Saint-Pierre,RE,80.29,light rain,-21.3393,55.4781,Lindsey Hôtel
151,Nabire,ID,79.05,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
156,Honiara,SB,84.09,moderate rain,-9.4333,159.95,Heritage Park Hotel
160,Kokopo,PG,84.27,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
161,Reconquista,AR,82.6,few clouds,-29.15,-59.65,Grand Hotel
163,Namibe,AO,74.52,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
165,Cockburn Town,TC,76.96,clear sky,21.4612,-71.1419,Osprey Beach Hotel
170,Imbituba,BR,74.14,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
178,Bubaque,GW,74.61,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Port-Gentil,GA,82.18,scattered clouds,-0.7193,8.7815,Fengshui Residence
190,Sao Miguel,BR,78.75,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
195,Avarua,CK,81.28,overcast clouds,-21.2078,-159.775,Paradise Inn
196,Labuhan,ID,83.37,broken clouds,-6.8844,112.2051,DoubleFAG
198,Acapulco,MX,77.49,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
202,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
203,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
205,Murray Bridge,AU,83.23,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
206,Aitape,PG,79.3,overcast clouds,-3.1374,142.3475,
210,Cidreira,BR,76.75,scattered clouds,-30.1811,-50.2056,Hotel Castelo
215,Thinadhoo,MV,83.16,scattered clouds,0.5333,72.9333,
216,Meulaboh,ID,81.68,broken clouds,4.1363,96.1285,Kost Pria
217,Linamon,PH,83.1,few clouds,8.186,124.1628,ILIGAN PARADISE RESORT & ECO PARK
219,Geraldton,AU,77.99,clear sky,-28.7667,114.6,Broadwater Mariner Resort
235,Tura,IN,77.92,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
239,Gizo,SB,80.44,moderate rain,-8.103,156.8419,Imagination Island
242,Buta,CD,75.88,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
257,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
259,Trincomalee,LK,82.17,few clouds,8.5711,81.2335,Welcombe Hotel
261,Sao Geraldo Do Araguaia,BR,73.85,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
265,Tambongon,PH,83.23,light rain,10.9677,123.9244,Mama Mary Healing Chapel
267,Mankono,CI,74.97,scattered clouds,8.0586,-6.1897,Hôtel cotonputeur
268,Marica,BR,73.35,clear sky,-22.9194,-42.8186,Marica Hills
269,Hobyo,SO,79.95,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
273,Victoria,HK,76.08,broken clouds,22.2855,114.1577,Mini Hotel Central
274,Mogadishu,SO,80.53,overcast clouds,2.0371,45.3438,Hotel Juba
277,Bida,NG,73.33,clear sky,9.0833,6.0167,Royal Suite
278,Mukdahan,TH,83.39,overcast clouds,16.5833,104.5,Ban Kham Phung
286,Acarau,BR,77.41,broken clouds,-2.8856,-40.12,castelo pizzaria
290,Kudahuvadhoo,MV,82.62,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
292,Qui Nhon,VN,76.82,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Bahadurganj,IN,77.81,few clouds,26.2667,87.8167,Usmania Cottage
294,Saint-Leu,RE,79.43,light rain,-21.15,55.2833,La Caz Oceane
295,Souillac,MU,80.98,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Moa,CU,76.1,scattered clouds,20.6569,-74.9403,Carmen
299,Bathsheba,BB,76.6,overcast clouds,13.2167,-59.5167,Atlantis Hotel
315,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
319,Lagos,NG,78.73,light rain,6.5833,3.75,
321,Olinda,BR,79.16,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
327,Along,IN,74.48,scattered clouds,28.1667,94.7667,Hotel West
331,Tondano,ID,81.66,overcast clouds,1.3038,124.9112,Villa Bella
337,Ulladulla,AU,75.09,broken clouds,-35.35,150.4667,Sandpiper Motel
339,Pedernales,DO,75.36,clear sky,18.0384,-71.744,Hotel Costa Marina
340,Kantang,TH,80.15,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
345,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
348,Maragogi,BR,77.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
349,Kalmunai,LK,83.08,few clouds,7.4167,81.8167,VS Villa
353,Auki,SB,81.52,overcast clouds,-8.7676,160.7034,Auki Motel
362,Sungaipenuh,ID,82.27,overcast clouds,-2.0833,101.3833,penginapan citra alam
365,Fare,PF,81.75,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
368,Bireun,ID,79.99,moderate rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
372,Kailua,US,74.12,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
374,Neiafu,TO,79.39,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
