City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bolobo,-2.1667,16.2333,72.25,88,100,3.36,CD,2022-02-25 01:51:41
1,Saint-Philippe,-21.3585,55.7679,74.79,86,100,6.46,RE,2022-02-25 01:51:41
2,Punta Arenas,-53.15,-70.9167,55.51,71,0,12.66,CL,2022-02-25 01:47:49
3,Los Llanos De Aridane,28.6585,-17.9182,60.55,77,20,18.41,ES,2022-02-25 01:51:42
4,Cururupu,-1.8283,-44.8683,74.93,97,64,3.44,BR,2022-02-25 01:51:42
5,Riyadh,24.6877,46.7219,60.94,20,72,10.42,SA,2022-02-25 01:50:01
6,Port Hedland,-20.3167,118.5667,96.85,52,43,4.61,AU,2022-02-25 01:47:33
7,Albany,42.6001,-73.9662,27.3,57,43,3.06,US,2022-02-25 01:50:40
8,Los Banos,14.1667,121.1833,83.8,59,17,13.49,PH,2022-02-25 01:51:43
9,Iqaluit,63.7506,-68.5145,-27.31,67,100,11.5,CA,2022-02-25 01:51:44
10,Rikitea,-23.1203,-134.9692,79.52,66,97,2.93,PF,2022-02-25 01:51:44
11,Hobart,-42.8794,147.3294,65.01,62,75,13.8,AU,2022-02-25 01:47:26
12,Ushuaia,-54.8,-68.3,49.66,87,75,10.36,AR,2022-02-25 01:51:45
13,Puerto Ayora,-0.7393,-90.3518,75.34,86,86,7.05,EC,2022-02-25 01:51:45
14,Port Alfred,-33.5906,26.891,73.11,88,22,19.66,ZA,2022-02-25 01:51:45
15,Cape Town,-33.9258,18.4232,68.11,86,0,11.5,ZA,2022-02-25 01:51:46
16,Starokozache,46.3372,29.9853,35.47,80,50,7.11,UA,2022-02-25 01:51:46
17,Carnarvon,-24.8667,113.6333,82.47,69,9,18.41,AU,2022-02-25 01:51:46
18,Bandarbeyla,9.4942,50.8122,75.87,73,100,7.14,SO,2022-02-25 01:51:47
19,Aldan,58.6031,125.3894,15.82,92,100,9.78,RU,2022-02-25 01:51:47
20,Atuona,-9.8,-139.0333,78.84,76,13,19.84,PF,2022-02-25 01:51:47
21,Broome,42.2506,-75.833,30.02,54,100,4.61,US,2022-02-25 01:51:48
22,Olinda,-8.0089,-34.8553,82.13,69,40,6.91,BR,2022-02-25 01:51:48
23,Saldanha,-33.0117,17.9442,64.51,96,10,9.91,ZA,2022-02-25 01:51:48
24,Hermanus,-34.4187,19.2345,70.81,88,99,11.72,ZA,2022-02-25 01:51:49
25,Mataura,-46.1927,168.8643,66.47,43,1,1.34,NZ,2022-02-25 01:51:49
26,Busselton,-33.65,115.3333,78.08,53,100,10.13,AU,2022-02-25 01:51:50
27,Popondetta,-8.7537,148.2534,89.62,60,100,5.3,PG,2022-02-25 01:51:50
28,Flinders,-34.5833,150.8552,74.21,94,100,1.95,AU,2022-02-25 01:51:51
29,Bjornevatn,69.6672,29.9847,26.94,93,100,9.22,NO,2022-02-25 01:51:51
30,Chokurdakh,70.6333,147.9167,-4.77,89,100,12.55,RU,2022-02-25 01:51:52
31,Yakeshi,49.2833,120.7333,7.81,92,100,11.1,CN,2022-02-25 01:51:52
32,Avarua,-21.2078,-159.775,82.45,83,40,13.8,CK,2022-02-25 01:50:15
33,Itoman,26.1247,127.6694,62.62,55,75,13.8,JP,2022-02-25 01:51:52
34,Taoudenni,22.6783,-3.9836,78.12,13,99,14.45,ML,2022-02-25 01:51:53
35,Acapulco,16.8634,-99.8901,80.42,78,0,6.91,MX,2022-02-25 01:47:03
36,Dudinka,69.4058,86.1778,2.73,90,100,6.67,RU,2022-02-25 01:51:54
37,Sitka,57.0531,-135.33,40.89,75,100,4.61,US,2022-02-25 01:51:54
38,Katobu,-4.9408,122.5276,82.2,73,79,7.85,ID,2022-02-25 01:51:54
39,Kaeo,-35.1,173.7833,76.32,70,54,9.82,NZ,2022-02-25 01:51:55
40,Port Keats,-14.25,129.55,83.53,70,100,16.93,AU,2022-02-25 01:51:55
41,Chuy,-33.6971,-53.4616,70.05,89,94,9.53,UY,2022-02-25 01:51:55
42,Thompson,55.7435,-97.8558,-0.24,60,20,5.75,CA,2022-02-25 01:51:56
43,Nikolskoye,59.7035,30.7861,34.88,86,100,13.53,RU,2022-02-25 01:51:56
44,Hithadhoo,-0.6,73.0833,82.26,69,4,8.19,MV,2022-02-25 01:51:57
45,Nemuro,43.3236,145.575,28.83,71,36,12.46,JP,2022-02-25 01:51:57
46,Pisco,-13.7,-76.2167,69.85,83,0,11.5,PE,2022-02-25 01:51:57
47,Tallahassee,30.4383,-84.2807,71.53,84,20,6.91,US,2022-02-25 01:51:58
48,Raudeberg,61.9875,5.1352,38.07,93,93,15.59,NO,2022-02-25 01:52:58
49,Torbay,47.6666,-52.7314,22.57,77,100,17.27,CA,2022-02-25 01:52:59
50,Hofn,64.2539,-15.2082,21.72,62,0,9.42,IS,2022-02-25 01:52:59
51,Codrington,-38.2667,141.9667,66.56,54,5,18.3,AU,2022-02-25 01:52:59
52,Vanavara,60.34,102.2797,4.8,98,100,3.44,RU,2022-02-25 01:53:00
53,Kaitangata,-46.2817,169.8464,62.92,77,0,6.31,NZ,2022-02-25 01:53:00
54,Mar Del Plata,-38.0023,-57.5575,66.87,89,0,7.0,AR,2022-02-25 01:53:01
55,Hilo,19.7297,-155.09,80.33,65,40,13.8,US,2022-02-25 01:48:47
56,Udachnyy,66.4167,112.4,-19.44,100,100,4.54,RU,2022-02-25 01:53:01
57,Vaini,-21.2,-175.2,86.16,79,75,10.36,TO,2022-02-25 01:53:02
58,Tilichiki,60.4667,166.1,22.32,89,100,12.44,RU,2022-02-25 01:53:02
59,Jamestown,42.097,-79.2353,31.32,48,100,9.22,US,2022-02-25 01:50:09
60,Ginatilan,9.5694,123.3128,81.36,75,100,14.03,PH,2022-02-25 01:53:03
61,Faanui,-16.4833,-151.75,81.3,74,11,12.37,PF,2022-02-25 01:53:03
62,Chany,55.3121,76.7647,30.06,90,100,11.27,RU,2022-02-25 01:53:04
63,Tomelloso,39.1522,-3.0243,50.52,55,100,12.33,ES,2022-02-25 01:53:04
64,Aklavik,68.2191,-135.0107,7.52,100,90,6.87,CA,2022-02-25 01:53:04
65,East London,-33.0153,27.9116,72.68,85,20,11.45,ZA,2022-02-25 01:53:05
66,Butaritari,3.0707,172.7902,82.22,77,67,19.04,KI,2022-02-25 01:53:05
67,Karatu,-3.3333,35.6667,59.88,90,97,2.82,TZ,2022-02-25 01:53:05
68,Porto Novo,6.4965,2.6036,82.22,88,8,4.12,BJ,2022-02-25 01:53:06
69,Valdivia,-39.8142,-73.2459,59.09,100,58,1.52,CL,2022-02-25 01:53:06
70,Saint-Augustin,51.226,-58.6502,-4.52,77,54,14.7,CA,2022-02-25 01:53:07
71,Ahipara,-35.1667,173.1667,68.83,76,65,3.62,NZ,2022-02-25 01:53:07
72,Princeton,25.5384,-80.4089,76.01,81,0,10.36,US,2022-02-25 01:53:05
73,Lompoc,34.6391,-120.4579,53.91,59,0,16.11,US,2022-02-25 01:53:08
74,Saskylakh,71.9167,114.0833,-19.43,97,96,2.8,RU,2022-02-25 01:53:08
75,Barrow,71.2906,-156.7887,-5.78,77,100,18.41,US,2022-02-25 01:53:09
76,Batemans Bay,-35.7167,150.1833,77.2,96,100,2.84,AU,2022-02-25 01:53:09
77,Grand Gaube,-20.0064,57.6608,75.6,84,100,8.28,MU,2022-02-25 01:53:09
78,Helena,46.5927,-112.0361,19.31,78,100,1.99,US,2022-02-25 01:53:10
79,Tabou,4.423,-7.3528,78.73,88,87,7.81,CI,2022-02-25 01:53:10
80,Cortez,37.3489,-108.5859,26.51,84,9,6.33,US,2022-02-25 01:53:11
81,Bengkulu,-3.8004,102.2655,80.71,70,93,4.29,ID,2022-02-25 01:52:34
82,Ribeira Grande,38.5167,-28.7,58.39,66,12,8.34,PT,2022-02-25 01:53:11
83,Airai,-8.9266,125.4092,66.97,81,99,5.12,TL,2022-02-25 01:53:12
84,Guerrero Negro,27.9769,-114.0611,60.62,48,40,13.69,MX,2022-02-25 01:53:12
85,Verkhoyansk,67.5447,133.385,0.37,95,100,1.28,RU,2022-02-25 01:53:13
86,Drayton Valley,53.2168,-114.9854,10.99,92,33,3.18,CA,2022-02-25 01:48:27
87,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,6.91,CA,2022-02-25 01:53:14
88,Presidente Dutra,-5.29,-44.49,73.83,94,100,0.94,BR,2022-02-25 01:53:14
89,Krasnouralsk,58.3638,60.0407,15.17,92,59,5.37,RU,2022-02-25 01:53:14
90,San Lorenzo,-25.3333,-57.5333,85.59,70,20,3.44,PY,2022-02-25 01:53:15
91,Lamu,-2.2717,40.902,79.02,86,100,9.42,KE,2022-02-25 01:53:15
92,El Alto,-4.2714,-81.2147,70.38,79,97,3.53,PE,2022-02-25 01:53:16
93,Yellowknife,62.456,-114.3525,7.32,85,75,3.44,CA,2022-02-25 01:53:16
94,Anloga,5.7947,0.8973,80.82,85,14,8.81,GH,2022-02-25 01:54:17
95,Komsomolskiy,40.4272,71.7189,47.12,57,75,4.61,UZ,2022-02-25 01:54:17
96,Palmer,42.1584,-72.3287,29.7,49,100,0.0,US,2022-02-25 01:54:17
97,Bastia,42.6667,9.3333,54.3,66,83,3.0,FR,2022-02-25 01:54:18
98,Pietersburg,-23.9045,29.4688,61.65,72,5,0.0,ZA,2022-02-25 01:54:18
99,Guzelyurt,38.2772,34.3719,32.79,82,100,3.85,TR,2022-02-25 01:54:18
100,Clyde River,70.4692,-68.5914,-16.37,76,100,18.41,CA,2022-02-25 01:54:19
101,Tasiilaq,65.6145,-37.6368,19.38,73,100,28.68,GL,2022-02-25 01:54:19
102,Bredasdorp,-34.5322,20.0403,70.29,86,99,6.35,ZA,2022-02-25 01:54:19
103,Bluff,-46.6,168.3333,66.79,72,9,4.9,NZ,2022-02-25 01:54:20
104,Okhotsk,59.3833,143.3,3.63,75,100,19.19,RU,2022-02-25 01:54:20
105,Dondo,-19.6094,34.7431,71.28,95,3,2.73,MZ,2022-02-25 01:54:21
106,Corinto,37.9407,22.9573,49.89,72,6,3.58,GR,2022-02-25 01:54:21
107,Georgetown,5.4112,100.3354,80.53,87,40,9.22,MY,2022-02-25 01:54:21
108,Jumla,29.2747,82.1838,37.17,68,7,3.33,NP,2022-02-25 01:54:23
109,Ondjiva,-17.0667,15.7333,72.07,63,72,2.26,AO,2022-02-25 01:54:23
110,Adra,36.7496,-3.0206,59.45,89,100,7.11,ES,2022-02-25 01:54:24
111,Leningradskiy,69.3833,178.4167,-1.71,95,99,6.13,RU,2022-02-25 01:54:24
112,Vitim,59.4511,112.5578,10.76,91,100,4.92,RU,2022-02-25 01:54:24
113,Provideniya,64.3833,-173.3,32.36,93,100,13.42,RU,2022-02-25 01:54:25
114,Novo Cruzeiro,-17.4681,-41.8753,65.88,97,3,2.06,BR,2022-02-25 01:54:25
115,Galle,6.0367,80.217,77.36,85,16,6.35,LK,2022-02-25 01:53:05
116,Kodiak,57.79,-152.4072,42.31,87,100,11.5,US,2022-02-25 01:54:26
117,Coria,39.9879,-6.5377,53.46,84,100,7.2,ES,2022-02-25 01:54:26
118,Hergiswil,46.9843,8.3094,39.88,81,100,17.27,CH,2022-02-25 01:54:27
